Fecha;Producto;Categoría;Cantidad;Precio;Total;Pago;Costo;;;;
31/03/2025;Arroz;Abarrotes;7;56.44;395.08;Efectivo;249.82;;;;
28/08/2021;Conserva;Abarrotes;1;29.5;29.5;Plin;15.95;;;;
14/09/2024;Cordero;Carnes;9;44.6;401.4;Tarjeta;257.81;;;;
25/04/2021;Cordero;Carnes;9;2.48;22.32;Tarjeta;12.63;;;;
17/08/2025;Rosquilla;Panadería;8;61.14;489.12;Transferencia;439.32;;;;
19/05/2020;Conserva;Abarrotes;8;74.47;595.76;Efectivo;535.36;;;;
25/08/2021;Crema;Lácteos;4;76.72;306.88;Plin;186.66;;;;
30/07/2024;Leche;Lácteos;6;80.09;480.54;Tarjeta;258.89;;;;
21/06/2024;Atún;Abarrotes;3;38.56;115.68;Plin;90.78;;;;
10/07/2024;Empanada;Panadería;9;55.54;499.86;Yape;316.59;;;;
8/05/2022;Manzana;Frutas;9;82.44;741.96;Plin;373.86;;;;
11/07/2023;Queque;Panadería;6;30.94;185.64;Tarjeta;142.85;;;;
12/03/2025;Kéfir;Lácteos;10;19.01;190.1;Efectivo;130.87;;;;
3/02/2025;Croissant;Panadería;3;8.93;26.79;Yape;18.2;;;;
19/02/2025;Mantequilla;Lácteos;3;85.37;256.11;Yape;146.92;;;;
14/10/2024;Melón;Frutas;2;65.84;131.68;Efectivo;66.75;;;;
6/04/2025;Queque;Panadería;4;25.42;101.68;Efectivo;52.6;;;;
21/07/2023;Manzana;Frutas;9;66.68;600.12;Tarjeta;356.19;;;;
24/06/2020;Cerdo;Carnes;8;46.55;372.4;Plin;201.48;;;;
11/01/2023;Trigo;Granos;3;41.13;123.39;Plin;78.46;;;;
16/01/2020;Cerdo;Carnes;5;76.83;384.15;Transferencia;257.57;;;;
27/06/2021;Fideos;Abarrotes;7;68.36;478.52;Transferencia;289.41;;;;
1/01/2021;Fideos;Abarrotes;5;62.91;314.55;Transferencia;184.12;;;;
23/07/2020;Conserva;Abarrotes;6;91.68;550.08;Tarjeta;435.8;;;;
9/10/2023;Pan francés;Panadería;6;16.21;97.26;Plin;87.4;;;;
16/02/2023;Frejoles;Granos;1;83.15;83.15;Yape;57.82;;;;
9/03/2023;Arvejas;Granos;7;60.36;422.52;Tarjeta;211.86;;;;
19/09/2023;Croissant;Panadería;3;54.4;163.2;Plin;117.22;;;;
19/09/2022;Lentejas;Granos;4;71.81;287.24;Tarjeta;197.5;;;;
9/02/2021;Rosquilla;Panadería;3;30.83;92.49;Plin;79.69;;;;
12/10/2022;Arvejas;Granos;10;13.97;139.7;Transferencia;117.08;;;;
26/01/2021;Melón;Frutas;1;57.03;57.03;Tarjeta;38.95;;;;
11/02/2021;Kéfir;Lácteos;7;17.72;124.04;Transferencia;104.98;;;;
6/01/2024;Pan integral;Panadería;6;61.99;371.94;Efectivo;307.07;;;;
30/07/2025;Pavo;Carnes;3;36.2;108.6;Tarjeta;55.52;;;;
13/12/2022;Manzana;Frutas;8;81.32;650.56;Plin;563.88;;;;
8/03/2023;Frejoles;Granos;7;99.5;696.5;Yape;570.08;;;;
27/06/2024;Melón;Frutas;3;74.05;222.15;Transferencia;146.12;;;;
25/07/2023;Pera;Frutas;10;62.88;628.8;Transferencia;447.6;;;;
16/01/2025;Mantequilla;Lácteos;10;21.86;218.6;Plin;120.86;;;;
6/03/2020;Galletas;Abarrotes;6;41.33;247.98;Transferencia;167.63;;;;
23/01/2020;Sal;Abarrotes;6;28.25;169.5;Yape;125.75;;;;
10/08/2024;Yogurt;Lácteos;8;50.29;402.32;Transferencia;306.71;;;;
31/08/2021;Pavo;Carnes;1;51.12;51.12;Plin;30.76;;;;
8/05/2025;Maíz;Granos;5;46.36;231.8;Efectivo;162.2;;;;
25/07/2023;Quinua;Granos;4;14.05;56.2;Plin;40.59;;;;
10/12/2020;Garbanzos;Granos;1;26.25;26.25;Efectivo;13.77;;;;
11/09/2024;Atún;Abarrotes;7;78.42;548.94;Plin;343.15;;;;
10/01/2021;Manzana;Frutas;10;79.77;797.7;Tarjeta;636.93;;;;
14/04/2024;Frejoles;Granos;3;2.68;8.04;Efectivo;6.29;;;;
25/12/2024;Res;Carnes;9;86.91;782.19;Transferencia;437.86;;;;
21/01/2025;Arvejas;Granos;7;21.38;149.66;Efectivo;84.08;;;;
22/09/2021;Pescado;Carnes;3;83.31;249.93;Efectivo;150.68;;;;
30/10/2020;Atún;Abarrotes;4;91.82;367.28;Efectivo;188.56;;;;
4/02/2023;Azúcar;Abarrotes;4;36.1;144.4;Transferencia;119.94;;;;
1/01/2021;Garbanzos;Granos;5;97.4;487;Tarjeta;327.11;;;;
14/01/2021;Melón;Frutas;4;97.37;389.48;Efectivo;269.51;;;;
25/03/2021;Kéfir;Lácteos;6;51.18;307.08;Yape;243.54;;;;
2/06/2025;Leche;Lácteos;9;97.1;873.9;Yape;699.34;;;;
25/07/2025;Pan integral;Panadería;3;50.28;150.84;Tarjeta;82.44;;;;
1/03/2021;Azúcar;Abarrotes;10;54.66;546.6;Transferencia;347.36;;;;
28/02/2023;Arroz;Abarrotes;8;90.04;720.32;Tarjeta;396.5;;;;
10/11/2022;Manzana;Frutas;1;39.93;39.93;Transferencia;25.26;;;;
22/07/2023;Melón;Frutas;6;43.78;262.68;Yape;187.96;;;;
23/04/2022;Yogurt;Lácteos;3;88.52;265.56;Efectivo;169.16;;;;
25/05/2022;Uva;Frutas;2;83.79;167.58;Plin;149.54;;;;
17/06/2025;Quinua;Granos;5;22.74;113.7;Tarjeta;84.12;;;;
11/05/2025;Azúcar;Abarrotes;6;49.99;299.94;Transferencia;217.13;;;;
24/04/2020;Maíz;Granos;10;96.52;965.2;Plin;587.24;;;;
22/12/2024;Rosquilla;Panadería;1;20.26;20.26;Yape;13.71;;;;
9/09/2020;Cordero;Carnes;9;46.64;419.76;Efectivo;276.85;;;;
4/02/2024;Crema;Lácteos;9;76.49;688.41;Yape;444.28;;;;
28/09/2023;Trigo;Granos;7;69.17;484.19;Tarjeta;391.52;;;;
9/11/2023;Atún;Abarrotes;4;11.66;46.64;Tarjeta;39.43;;;;
31/10/2022;Arroz;Abarrotes;1;77.59;77.59;Tarjeta;52.25;;;;
1/04/2020;Azúcar;Abarrotes;7;4.6;32.2;Plin;22.51;;;;
7/08/2020;Yogurt;Lácteos;1;84.7;84.7;Plin;69.17;;;;
3/08/2021;Garbanzos;Granos;4;76.54;306.16;Transferencia;187.46;;;;
2/07/2023;Crema;Lácteos;4;95.34;381.36;Plin;258.42;;;;
3/12/2024;Maíz;Granos;10;15.71;157.1;Yape;95.5;;;;
7/02/2023;Quinua;Granos;4;85.62;342.48;Plin;231.68;;;;
29/03/2021;Garbanzos;Granos;3;1.66;4.98;Transferencia;3.92;;;;
4/10/2020;Cordero;Carnes;4;53.64;214.56;Transferencia;141.37;;;;
10/11/2023;Mantequilla;Lácteos;4;13.77;55.08;Yape;45.44;;;;
24/07/2022;Pollo;Carnes;6;87.33;523.98;Tarjeta;398.03;;;;
21/01/2022;Fideos;Abarrotes;1;88.44;88.44;Transferencia;50.16;;;;
9/03/2024;Pollo;Carnes;3;65.18;195.54;Plin;127.94;;;;
3/08/2023;Pollo;Carnes;2;16.67;33.34;Yape;24.63;;;;
12/02/2025;Kéfir;Lácteos;5;68.03;340.15;Transferencia;277.76;;;;
13/07/2024;Croissant;Panadería;3;22.55;67.65;Transferencia;56.93;;;;
29/07/2022;Res;Carnes;10;57;570;Plin;364.43;;;;
3/07/2025;Plátano;Frutas;5;13.64;68.2;Plin;42.81;;;;
19/11/2024;Empanada;Panadería;2;1.23;2.46;Transferencia;1.83;;;;
21/11/2020;Queque;Panadería;6;37.19;223.14;Plin;149.67;;;;
18/07/2024;Pavo;Carnes;10;55.96;559.6;Yape;284.15;;;;
7/02/2022;Sal;Abarrotes;4;78.53;314.12;Plin;235.36;;;;
18/10/2022;Frejoles;Granos;8;17.27;138.16;Transferencia;92.73;;;;
8/06/2022;Plátano;Frutas;2;95.64;191.28;Tarjeta;113.16;;;;
12/03/2022;Yogurt;Lácteos;3;88.82;266.46;Plin;200.05;;;;
